times,distances,speeds,power_total,power_diesel,power_battery,power_regen,power_track,power_train,power_lost,power_accel
24883.377927679565,664517.4993546589,26.822768261787605,11006784.890348818,8377205.551279952,2629579.3390688654,0.0,5301679.811245407,5844651.634041457,0.0,-157971.9947185497
24886.61022468801,664604.1951662145,26.82011106243965,11006784.890348818,8377205.551279952,2629579.3390688654,0.0,5455783.384749508,5843575.457511766,0.0,-168759.44939580443
24889.842049253948,664690.8909777701,26.826538544096973,11006784.890348818,8377205.551279952,2629579.3390688654,0.0,5610789.641199478,5844364.210779771,0.0,408299.4681453786
24891.9373279332,664747.0860547548,26.81342801592155,11006784.890348818,8377205.551279952,2629579.3390688654,0.0,5157173.820292665,5842966.147797712,0.0,-1284428.7994296593
24894.03300048913,664803.2811317395,26.82122338070465,11006784.890348818,8377205.551279952,2629579.3390688654,0.0,4703790.822100847,5841854.398458043,0.0,763486.9545743463
24896.125601796342,664859.476208723,26.90543591170563,11006784.890348818,8377205.551279952,2629579.3390688654,0.0,-3601956.805355101,5861119.142696097,0.0,8274146.516180908
24898.21736957875,664915.6712857066,26.82306220925906,11006784.890348818,8377205.551279952,2629579.3390688654,0.0,-11916181.404831233,5861504.589026914,14216348.143342521,-8096978.008744329
24901.812098591992,665011.9084554459,26.675469287211914,-3279999.7772276467,0.11151716973237158,0.0,3279999.888744816,-4116652.0771101243,5813430.675870593,6091540.083427949,-8405903.056778084
24905.41620310236,665108.1456251852,26.72873928746415,-3279999.7772276467,0.11151716973237158,0.0,3279999.888744816,3625470.741032288,5793788.737941581,0.0,3020674.6310020764
24909.012927899686,665204.3827949236,26.786729116588713,11909113.650368435,8888124.00626074,3020989.644107696,0.0,3306250.1098220022,5816962.3199017495,0.0,3301924.151401358
24912.603250804772,665300.619964662,26.82270535557397,11909113.650368435,8888124.00626074,3020989.644107696,0.0,2984707.9079805305,5836581.801033135,0.0,2055732.5741996272
24916.190749846723,665396.857134401,26.831766726211278,11909113.650368435,8888124.00626074,3020989.644107696,0.0,2436075.2035769606,5846000.919483476,0.0,518622.2786530649
24919.778015439995,665493.09430414,26.82252371565658,7909835.618161483,6553564.54559674,1356271.0725647423,0.0,1884928.6468441403,5845962.911225668,0.0,-529050.9696080586
24923.366748332104,665589.3314738781,26.80464079043006,7909835.618161483,6553564.54559674,1356271.0725647423,0.0,2917405.345989466,5840288.637011898,0.0,-1022646.18367314
24926.95590618621,665685.5686436163,26.823026491161322,7909835.618161483,6553564.54559674,1356271.0725647423,0.0,3950872.046881432,5840393.775598072,0.0,1051283.08205007
24930.54233428308,665781.8058133554,26.854447883590755,10283692.928472564,8021772.468887905,2261920.4595846594,0.0,2181638.8381649363,5850815.490128071,0.0,1799693.3575383031
24934.128133069742,665878.0429830945,26.821662822842544,10283692.928472564,8021772.468887905,2261920.4595846594,0.0,408725.8438906933,5850529.989578809,0.0,-1878080.7387320213
24937.717198529397,665974.2801528327,26.798833631648158,5359436.61454218,4906075.61430435,453361.0002378303,0.0,1731103.788316068,5838894.357266079,0.0,-1305218.1927639088
24941.30672503934,666070.517322571,26.823090747369925,5359436.61454218,4906075.61430435,453361.0002378303,0.0,3053986.542992841,5839192.915560423,0.0,1386716.0199438173
24944.893229719542,666166.7544923103,26.851445573538815,10240209.811540224,8011221.904934201,2228987.906606022,0.0,1662823.5737026494,5850200.384336571,0.0,1623928.9741246235
24948.479239942386,666262.9916620497,26.82394498665632,6445700.504972492,5545831.082109655,899869.4228628369,0.0,268668.41631236166,5850379.221940879,0.0,-1575247.48139194
24952.09328087275,666359.9929045208,26.872352394159766,6445700.504972492,5545831.082109655,899869.4228628369,0.0,-2579446.2447764734,5854757.261567052,0.0,2752366.3490229966
24955.706361978395,666456.994146992,26.820808251950368,6445700.504972492,5545831.082109655,899869.4228628369,0.0,-5427348.489791301,5854100.26779886,2413975.0668598786,-2931323.281327811
24959.32609748594,666553.9953894623,26.754162376624915,-2413974.90838602,428425.16578227025,0.0,2842400.0741682905,-1814896.6023126855,5829380.884907761,0.0,-3774865.845529914
24962.94712214541,666650.9966319327,26.822381330675956,511697.5774094332,1948546.0797924837,0.0,1436848.5023830505,1785660.9711319653,5829709.437167963,0.0,3862703.821092141
24966.563636042687,666747.9978744036,26.82055917920973,11479128.803123618,8669465.091562243,2809663.711561374,0.0,1885924.245470289,5843588.257152382,0.0,-103430.84070385687
24970.180189385857,666844.9991168745,26.822361177446194,6549253.527220879,3823903.2763395803,2725350.250881299,0.0,1983973.8250686675,5843584.041226122,0.0,102285.72821698833
24973.796592185092,666942.0003593458,26.822913633355824,6549253.527220879,3823903.2763395803,2725350.250881299,0.0,1965743.8813183834,5844076.591593276,0.0,31361.400106000787
24977.413006642557,667039.0016018171,26.822064873502313,6549253.527220879,3823903.2763395803,2725350.250881299,0.0,1947416.1020980305,5844014.603471733,0.0,-48181.337304259774
24980.486371293322,667121.4386153666,26.824718849574985,6549253.527220879,3823903.2763395803,2725350.250881299,0.0,1807854.5413817011,5844392.269626467,0.0,177284.08209987122
24983.559696263794,667203.8756289161,26.822055290428544,6549253.527220879,3823903.2763395803,2725350.250881299,0.0,1668227.1498375852,5844390.264725394,0.0,-177926.4913714598
24986.63305119573,667286.312642466,26.82498675907061,6549253.527220879,3823903.2763395803,2725350.250881299,0.0,1510451.1284903786,5844446.314975914,0.0,195821.98903616285
24989.70635080365,667368.749656016,26.822239314080992,6549253.527220879,3823903.2763395803,2725350.250881299,0.0,1352671.4161019137,5844484.815392821,0.0,-183533.14971801327
24992.77971900026,667451.1866695664,26.824144769854254,6549253.527220879,3823903.2763395803,2725350.250881299,0.0,1282581.8239336612,5844308.660416565,0.0,127282.25962942289
24995.85330004914,667533.6236831169,26.818026660745677,6549253.527220879,3823903.2763395803,2725350.250881299,0.0,1212418.2476176084,5843427.3721375875,0.0,-408622.2771813439
24999.244574565826,667624.6207780426,26.859109031941838,6549253.527220879,3823903.2763395803,2725350.250881299,0.0,-962929.5162349216,5850744.582054013,0.0,2488427.7216250924
25002.634828469727,667715.6178729683,26.821352954135765,6549253.527220879,3823903.2763395803,2725350.250881299,0.0,-3139262.064375738,5851441.015266951,0.0,-2287778.81669191
25006.029115103916,667806.6149678949,26.78509415324828,6549253.527220879,3823903.2763395803,2725350.250881299,0.0,-1116039.177609256,5835957.383646903,0.0,-2191417.319484786
25009.424049078585,667897.6120628214,26.821983468752116,6549253.527220879,3823903.2763395803,2725350.250881299,0.0,902865.8988666261,5836089.169777909,0.0,2229125.595825999
25011.3250055927,667948.5971605087,26.818876860726334,6549253.527220879,3823903.2763395803,2725350.250881299,0.0,1274876.5539851298,5843153.107432772,0.0,-335469.5873070784
25013.22596874807,667999.5822581961,26.82280732374009,6549253.527220879,3823903.2763395803,2725350.250881299,0.0,1646343.5163213327,5843325.445806683,0.0,424439.27230763086
25015.126708917673,668050.5673558834,26.825487139485073,6549253.527220879,3823903.2763395803,2725350.250881299,0.0,1319227.5308574133,5844708.341420855,0.0,289455.12480386905
25017.027438286834,668101.5524535708,26.82216448672558,6549253.527220879,3823903.2763395803,2725350.250881299,0.0,991896.7805726259,5844573.847910009,0.0,-358887.66295616527
25019.946515731805,668179.8432920515,26.817026615200085,6549253.527220879,3823903.2763395803,2725350.250881299,0.0,1351858.6012424005,5842803.9398800405,0.0,-361295.8598568185
25022.865717427838,668258.1341305322,26.821526259169065,6549253.527220879,3823903.2763395803,2725350.250881299,0.0,1711956.479380427,5842670.439665461,0.0,316398.3744467754
25026.541801790503,668356.7467408181,26.832317547969332,6549253.527220879,3823903.2763395803,2725350.250881299,0.0,1206174.9100031976,5845869.4533485705,0.0,602742.5186301061
25030.21763547573,668455.3593511041,26.822395205314475,6549253.527220879,3823903.2763395803,2725350.250881299,0.0,699916.6423687704,5846051.280386789,0.0,-554254.6986795887
25033.893887692815,668553.9719613873,26.82762637600776,6549253.527220879,3823903.2763395803,2725350.250881299,0.0,430662.06103346776,5845069.696974724,0.0,292150.5005916284
